link_id,packet_count,traffic_size_mb
0-1,22804,1.5381584167480469
0-2,21910,1.4759254455566406
0-3,22812,1.5387039184570312
0-4,20182,1.3556137084960938
1-1,22804,1.5381584167480469
1-2,22630,1.52606201171875
1-3,23286,1.571685791015625
1-4,21516,1.4484901428222656
10-1,21678,1.4597396850585938
10-2,22828,1.5398406982421875
10-3,24406,1.6496925354003906
10-4,22716,1.53204345703125
100-1,22720,1.5323219299316406
100-2,22878,1.5432815551757812
100-3,21660,1.4585037231445312
100-4,24404,1.6495475769042969
1000-1,24346,1.645538330078125
1000-2,21670,1.4591941833496094
1000-3,22928,1.5467910766601562
1000-4,24344,1.6453819274902344
1001-1,24490,1.6555404663085938
1001-2,22928,1.5467910766601562
1001-3,22874,1.5430259704589844
1001-4,24536,1.6587371826171875
1002-1,24410,1.6499710083007812
1002-2,22874,1.5430259704589844
1002-3,21682,1.4600296020507812
1002-4,24400,1.6492919921875
1003-1,24224,1.6370162963867188
1003-2,21682,1.4600296020507812
1003-3,21850,1.4717254638671875
1003-4,24216,1.6364822387695312
1004-1,24116,1.6294975280761719
1004-2,21850,1.4717254638671875
1004-3,21950,1.47869873046875
1004-4,24110,1.6290626525878906
1005-1,24024,1.6231040954589844
1005-2,21950,1.47869873046875
1005-3,22020,1.4835662841796875
1005-4,24026,1.6232376098632812
1006-1,23914,1.6153945922851562
1006-2,22020,1.4835662841796875
1006-3,22114,1.4901390075683594
1006-4,23918,1.6156959533691406
1007-1,23752,1.6042022705078125
1007-2,22114,1.4901390075683594
1007-3,22272,1.5010871887207031
1007-4,23758,1.6046028137207031
1008-1,23630,1.5956687927246094
1008-2,22272,1.5010871887207031
1008-3,22390,1.5093536376953125
1008-4,23618,1.5948333740234375
1009-1,23506,1.5870132446289062
1009-2,22390,1.5093536376953125
1009-3,22516,1.5181312561035156
1009-4,23504,1.5868797302246094
101-1,22558,1.5210380554199219
101-2,21660,1.4585037231445312
101-3,21826,1.4700889587402344
101-4,24248,1.6386756896972656
1010-1,23356,1.5765533447265625
1010-2,22516,1.5181312561035156
1010-3,22664,1.5284461975097656
1010-4,23348,1.5759963989257812
1011-1,23226,1.5675201416015625
1011-2,22664,1.5284461975097656
1011-3,22830,1.5399856567382812
1011-4,23218,1.5669631958007812
1012-1,21786,1.4672698974609375
1012-2,22906,1.5452651977539062
1012-3,21786,1.4672698974609375
1012-4,22846,1.5410881042480469
1013-1,23136,1.5612602233886719
1013-2,22906,1.5452651977539062
1013-3,22738,1.5335693359375
1013-4,23138,1.5614051818847656
1014-1,23280,1.5712966918945312
1014-2,22738,1.5335693359375
1014-3,22516,1.5181083679199219
1014-4,23282,1.5714302062988281
1015-1,23518,1.587860107421875
1015-2,22516,1.5181083679199219
1015-3,22368,1.5078163146972656
1015-4,23516,1.5877265930175781
1016-1,23642,1.5965042114257812
1016-2,22368,1.5078163146972656
1016-3,22262,1.5004310607910156
1016-4,23644,1.596649169921875
1017-1,23768,1.6052818298339844
1017-2,22262,1.5004310607910156
1017-3,22114,1.4901390075683594
1017-4,23766,1.6051368713378906
1018-1,23946,1.617645263671875
1018-2,22114,1.4901390075683594
1018-3,21930,1.4773406982421875
1018-4,23944,1.6175003051757812
1019-1,24110,1.6290512084960938
1019-2,21930,1.4773406982421875
1019-3,21836,1.4707794189453125
1019-4,24110,1.6290512084960938
102-1,22446,1.5132179260253906
102-2,21826,1.4700889587402344
102-3,21892,1.474700927734375
102-4,24138,1.6309890747070312
1020-1,24196,1.6350669860839844
1020-2,21836,1.4707794189453125
1020-3,21780,1.46685791015625
1020-4,24192,1.6347885131835938
1021-1,24222,1.6368827819824219
1021-2,21780,1.46685791015625
1021-3,21682,1.4600067138671875
1021-4,24222,1.6368942260742188
1022-1,24344,1.6453819274902344
1022-2,21682,1.4600067138671875
1022-3,22880,1.5434494018554688
1022-4,24338,1.6449813842773438
1023-1,24536,1.6587371826171875
1023-2,22880,1.5434494018554688
1023-3,22904,1.5450859069824219
1023-4,24482,1.6549835205078125
1024-1,24400,1.6492919921875
1024-2,22904,1.5450859069824219
1024-3,21632,1.4565315246582031
1024-4,24392,1.648712158203125
1025-1,24216,1.6364822387695312
1025-2,21632,1.4565315246582031
1025-3,21794,1.4678268432617188
1025-4,24214,1.6363258361816406
1026-1,24110,1.6290626525878906
1026-2,21794,1.4678268432617188
1026-3,21896,1.474945068359375
1026-4,24104,1.628662109375
1027-1,24026,1.6232376098632812
1027-2,21896,1.474945068359375
1027-3,21984,1.4810371398925781
1027-4,24028,1.623382568359375
1028-1,23918,1.6156959533691406
1028-2,21984,1.4810371398925781
1028-3,22114,1.4901275634765625
1028-4,23916,1.61553955078125
1029-1,23758,1.6046028137207031
1029-2,22114,1.4901275634765625
1029-3,22310,1.5037155151367188
1029-4,23752,1.6042022705078125
103-1,22372,1.5080947875976562
103-2,21892,1.474700927734375
103-3,21944,1.4782638549804688
103-4,24076,1.6267242431640625
1030-1,23618,1.5948333740234375
1030-2,22310,1.5037155151367188
1030-3,22450,1.513519287109375
1030-4,23618,1.5948333740234375
1031-1,23504,1.5868797302246094
1031-2,22450,1.513519287109375
1031-3,22568,1.5217399597167969
1031-4,23502,1.5867347717285156
1032-1,23348,1.5759963989257812
1032-2,22568,1.5217399597167969
1032-3,22698,1.5308074951171875
1032-4,23350,1.5761299133300781
1033-1,23218,1.5669631958007812
1033-2,22698,1.5308074951171875
1033-3,22846,1.5410881042480469
1033-4,23218,1.5669631958007812
1034-1,21786,1.4672698974609375
1034-2,22900,1.5448532104492188
