node_id,packet_count,traffic_size_mb,orbit,sat_id
0,87708,5.9084014892578125,0,0
1,90236,6.0843963623046875,0,1
2,90164,6.079395294189453,0,2
3,90226,6.0836944580078125,0,3
4,90240,6.084674835205078,0,4
5,90170,6.07977294921875,0,5
6,90144,6.077968597412109,0,6
7,90264,6.086299896240234,0,7
8,90330,6.090923309326172,0,8
9,90340,6.09161376953125,0,9
10,91628,6.181316375732422,0,10
11,93164,6.288249969482422,0,11
12,91670,6.184211730957031,0,12
13,90262,6.086212158203125,0,13
14,90306,6.089252471923828,0,14
15,90306,6.0893096923828125,0,15
16,90260,6.086055755615234,0,16
17,90246,6.085166931152344,0,17
18,90286,6.087860107421875,0,18
19,90254,6.085666656494141,0,19
20,90198,6.081733703613281,0,20
21,90246,6.0850982666015625,0,21
22,89374,6.024436950683594,1,0
23,92006,6.207614898681641,1,1
24,91970,6.205108642578125,1,2
25,92050,6.210700988769531,1,3
26,92062,6.211570739746094,1,4
27,91998,6.207080841064453,1,5
28,91944,6.203327178955078,1,6
29,92002,6.207324981689453,1,7
30,91986,6.206211090087891,1,8
31,91992,6.206634521484375,1,9
32,93340,6.300479888916016,1,10
33,94820,6.403514862060547,1,11
34,93264,6.295177459716797,1,12
35,91906,6.200664520263672,1,13
36,91978,6.205619812011719,1,14
37,92052,6.210857391357422,1,15
38,92030,6.209262847900391,1,16
39,92002,6.207393646240234,1,17
40,92040,6.209930419921875,1,18
41,92022,6.208728790283203,1,19
42,91934,6.202602386474609,1,20
43,91902,6.200431823730469,1,21
44,89370,6.0241241455078125,2,0
45,92008,6.207736968994141,2,1
46,91954,6.204006195068359,2,2
47,92002,6.207347869873047,2,3
48,91986,6.206245422363281,2,4
49,91900,6.200229644775391,2,5
50,91898,6.200107574462891,2,6
51,92000,6.207202911376953,2,7
52,92000,6.207248687744141,2,8
53,91986,6.206245422363281,2,9
54,93272,6.295768737792969,2,10
55,94822,6.403682708740234,2,11
56,93336,6.300201416015625,2,12
57,91930,6.2023468017578125,2,13
58,91996,6.206890106201172,2,14
59,92020,6.2086181640625,2,15
60,91924,6.201877593994141,2,16
61,91868,6.198070526123047,2,17
62,91910,6.200862884521484,2,18
63,91946,6.203392028808594,2,19
64,91934,6.202568054199219,2,20
65,91962,6.2045745849609375,2,21
66,87782,5.913547515869141,3,0
67,90312,6.089653015136719,3,1
